COUNTRY,INDICATOR,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Belgium,"Current account balance (credit less debit), Percent of GDP",Annual,3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.651,1.623,-1.926,-0.081,0.951,0.768,1.387,0.554,0.701,-0.915,0.124,0.887,1.833,-1.313,-0.688,-0.854,-0.909,-0.928
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Gross capital formation, Percent of GDP",Annual,27.113,25.419,25.018,25.084,25.859,26.369,26.906,27.535,27.432,24.819,25.875,26.456,26.318,25.562,25.658,25.194,25.311,25.832,25.868,25.47,25.912,26.286,26.298,25.596,25.334,24.828,24.781
Austria,"Gross national savings, Percent of GDP",Annual,25.23,24.626,25.896,26.013,26.295,26.239,27.147,28.56,29.224,25.627,25.732,25.993,25.748,25.69,26.246,25.589,27.031,26.242,26.744,27.885,29.02,29.408,28.365,26.749,25.237,25.745,26.428
Austria,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,13.525,5.771,4.286,0.531,8.661,6.665,7.576,7.572,2.171,-14.368,13.131,5.935,1.438,0.633,2.855,3.026,2.993,4.9,5.151,4.035,-10.489,9.477,9.997,-0.422,-3.46,0.084,1.268
Austria,"Structural balance, General government, Percent",Annual,-3.852,-1.679,-1.519,-0.902,-1.957,-2.307,-3.033,-2.748,-2.686,-3.762,-3.877,-2.813,-2.114,-2.035,0.038,0.576,-1.104,-0.828,-0.28,0.195,-7.134,-4.816,-4.399,-2.976,-4.157,-3.631,-3.279
Austria,"Gross capital formation, Percent of GDP",Annual,25.94,25.426,23.778,24.456,24.204,23.965,23.829,24.734,24.705,23.015,22.859,24.352,24.256,23.941,23.849,24.012,24.457,24.978,25.898,25.509,25.653,27.673,29.227,25.408,22.828,23.952,24.27
Belgium,"Gross capital formation, Percent of GDP",Annual,23.783,22.634,20.747,20.964,22.667,23.682,23.97,24.603,25.937,22.027,22.394,24.48,23.588,22.709,23.258,23.322,24.182,24.332,25.552,24.676,24.069,24.442,26.926,25.362,24.025,23.776,23.713
Austria,"Gross debt, General government, Percent of GDP",Annual,66.109,67.238,67.44,66.412,65.912,69.428,68.176,65.813,69.528,80.752,83.654,83.356,82.935,82.431,85.21,85.615,83.419,79.057,74.586,71.006,83.183,82.395,78.376,78.508,80.789,82.025,83.034
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Gross national savings, Percent of GDP",Annual,30.158,29.171,28.555,29.306,29.973,30.377,31.301,31.046,30.52,29.035,31.109,30.571,30.309,30.387,30.547,30.729,30.321,30.619,30.224,29.988,31.248,33.294,33.059,31.267,32.052,31.166,30.865
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Current account balance (credit less debit), Percent of GDP",Annual,2.979,3.491,3.391,4.276,4.089,3.804,4.217,3.444,2.857,3.946,4.745,3.911,3.991,4.79,4.885,5.273,4.825,4.508,4.285,4.436,4.986,6.733,6.527,5.517,6.485,6.33,6.083
Denmark,"Structural balance, General government, Percent",Annual,-0.993,-0.147,2.373,2.478,1.022,2.405,1.677,1.888,1.002,-0.874,-1.593,-0.591,-0.391,-0.873,0.973,0.738,-0.385,0.088,0.392,1.07,0.834,-0.507,1.8,2.457,2.668,1.431,0.229
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"Gross domestic product (GDP), Constant prices, Percent change",Annual,5.911,2.156,3.937,2.716,5.207,4.166,4.843,5.164,1.819,-0.856,5.964,3.438,2.244,2.593,2.967,2.349,2.686,3.213,2.798,2.04,-1.574,5.846,2.719,1.831,2.325,1.773,1.998
Luxembourg,"Gross domestic product (GDP), Constant prices, Percent change",Annual,8.442,3.074,3.225,2.62,4.23,2.483,6.016,8.099,-0.302,-3.239,3.76,1.044,1.65,3.172,2.623,2.269,4.978,1.317,1.611,2.749,-0.51,6.93,-1.097,0.099,0.359,1.177,2.092
Italy,"Gross national savings, Percent of GDP",Annual,21.052,21.459,21.556,20.796,21.162,20.646,20.891,21.258,19.316,17.881,17.574,17.935,17.769,18.036,18.831,18.524,20.172,20.609,21.162,21.521,21.66,24.101,22.873,23.065,23.483,23.716,24.722
France,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,13.275,2.768,2.174,-1.341,4.655,4.432,5.838,2.76,0.341,-10.289,8.05,6.736,2.79,2.894,2.738,4.358,1.887,4.778,3.644,2.206,-16.854,11.048,9.309,2.838,2.373,0.158,1.424
Germany,"Structural balance, General government, Percent",Annual,-4.938,-3.525,-3.826,-2.824,-2.863,-2.444,-2.061,-1.055,-1.187,-1.089,-2.73,-1.366,-0.062,0.685,1.301,1.144,1.228,1.112,1.509,1.074,-2.954,-2.759,-1.94,-2.379,-1.97,-1.801,-2.894
Denmark,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,13.667,2.395,6.376,-1.024,7.137,11.802,13.942,5.807,4.54,-12.18,1.315,8.06,2.851,1.458,4.068,4.063,4.286,4.322,5.705,3.053,-3.954,9.552,5.995,2.523,4.155,0.732,3.519
Denmark,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,12.578,3.353,4.358,-1.202,3.015,7.841,10.333,3.638,3.87,-9.166,3.026,7.447,1.259,1.39,3.019,3.232,3.662,4.806,3.404,4.417,-6.36,7.737,6.585,7.783,7.109,1.499,2.731
Germany,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,14.258,5.891,4.019,1.555,9.96,6.884,12.491,8.913,0.869,-14.491,13.737,8.074,3.262,0.651,4.229,4.307,1.808,4.519,2.729,2.097,-10.273,9.994,4.041,-0.927,-1.896,-0.242,-0.37
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,2.879,1.64,-0.234,-0.53,1.165,0.889,3.857,2.892,0.888,-5.55,4.144,3.758,0.466,0.395,2.177,1.663,2.217,2.806,1.133,0.973,-4.127,3.913,1.807,-0.872,-0.496,0.191,0.944
France,"Gross capital formation, Percent of GDP",Annual,21.858,21.515,20.7,20.651,21.364,21.911,22.685,23.569,23.467,20.718,21.338,22.5,21.83,21.52,21.837,21.717,21.598,22.181,22.612,23.025,22.804,23.447,24.023,22.958,21.52,21.702,21.301
Denmark,Unemployment rate,Annual,4.317,4.508,4.642,5.433,5.517,4.8,3.9,3.617,2.65,4.833,6.058,5.95,6.075,5.758,4.992,4.542,4.125,4.2,3.85,3.658,4.658,3.592,2.508,2.767,2.9,2.95,2.95
France,Unemployment rate,Annual,9.175,8.458,8.275,8.525,8.875,8.875,8.842,8.017,7.442,9.125,9.275,9.208,9.767,10.3,10.267,10.342,10.067,9.408,9.025,8.425,8.025,7.867,7.3,7.342,7.392,7.56,7.522
Germany,"Gross capital formation, Percent of GDP",Annual,23.964,22.765,20.152,19.577,19.021,18.736,19.898,20.787,20.887,18.006,19.531,21.267,19.472,19.788,20.139,19.498,19.712,20.691,21.65,21.381,21.729,22.673,23.276,21.994,21.499,21.271,20.715
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.366,1.843,1.123,0.991,2.524,1.985,2.93,2.485,0.262,-2.731,1.838,2.484,0.23,0.925,1.001,0.998,0.735,2.268,1.593,2.091,-7.603,6.794,2.801,1.619,1.102,0.671,0.911
France,"Gross debt, General government, Percent of GDP",Annual,59.721,59.324,61.255,65.363,66.877,68.188,65.4,65.479,69.819,84.057,86.279,88.748,91.74,94.546,96.14,96.943,98.126,98.722,98.49,98.104,114.907,112.786,111.366,109.623,113.148,116.505,119.556
France,"Structural balance, General government, Percent",Annual,-2.185,-2.158,-3.435,-3.76,-3.578,-3.999,-3.379,-4.204,-4.182,-5.911,-6.089,-4.839,-4.101,-3.652,-3.182,-2.351,-2.032,-2.29,-1.565,-1.434,-5.916,-5.138,-4.216,-5.291,-5.775,-5.316,-5.686
